id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
19,3.8,75.0,10.179328,12.0,4.285714285714286,25.323313857142857,10.421514285714286,2.225714285714285,1.9914285714285715,1.1314285714285717,0.4898942857142857,1.4092
20,3.8,43.0,3.55,7.5,4.0,14.610803,12.39211,2.77,1.5509999999999995,0.708,0.5982450000000001,0.49724
21,5.5,58.0,6.283996,11.6,4.4,22.111243,10.600980000000002,2.644,1.7574999999999998,0.944,0.494714,0.93396
22,5.5,106.0,13.575328,15.5,4.25,31.574635600000004,11.719925,2.6318749999999995,1.718636363636364,0.94625,0.4820359999999999,1.23121
23,5.5,38.0,4.243996,13.6,4.0,29.525338,10.75912,2.904,1.732,0.914,0.477854,1.8288
24,3.0,220.0,24.529328,24.444444444444446,4.666666666666667,57.08166000000001,11.5267,2.83,1.7166666666666668,0.8933333333333332,0.4737466666666667,4.08822
25,6.0,113.0,13.747992000000002,11.6,4.8,23.231818,10.75912,2.644,1.794,0.908,0.498666,1.79216
26,6.0,232.0,33.20565499999999,11.4,4.8,24.085483,10.59066,2.8280000000000003,1.7,0.928,0.4927359999999999,1.09501
27,2.5,46.0,9.107996000000002,23.0,4.0,49.496,10.52605,2.24,1.7420000000000002,0.96,0.4775399999999999,4.86552
28,1.8,92.0,15.604,42.0,5.0,102.82756,9.1302,2.205,2.015,1.5,0.45825,5.20133
29,4.0,30.0,0.973995,6.0,3.2,12.0096,8.79744,2.545,1.44,0.62,0.49954,0.1391
30,1.8,790.0,105.514,39.5,5.6,93.78445,9.65936,2.298,1.907,1.2145,0.44942,5.20133
31,2.0,110.0,3.555328,4.666666666666667,3.2,8.808713333333333,13.123634,2.0200000000000005,1.4580000000000002,0.642,0.49282,0.44035
32,5.5,97.0,9.5439908,9.625,4.625,19.14036490625,10.857175,2.58625,1.791875,0.945,0.4959356250000001,0.8812
33,2.0,214.0,5.203996,42.8,5.6,102.82756,9.695,2.3080000000000003,1.908,1.224,0.4587699999999999,0.34857
34,3.8,30.0,3.443996,6.0,4.0,12.079502608695652,11.7051,2.6725000000000003,1.495,0.71,0.6184925,0.68417
35,6.0,100.0,7.134331999999999,10.0,4.8,20.3920334,11.14446,2.805,1.656,0.965,0.499514,0.69605
36,5.5,58.0,9.577996,11.8,4.8,23.231818,11.288,2.81,1.682,0.828,0.490932,1.31786
37,1.8,146.0,27.24,46.0,4.333333333333333,118.019,8.869433333333333,2.24,1.9433333333333327,1.2333333333333334,0.4269199999999999,6.675
38,6.0,100.0,8.337992,10.0,4.8,20.3920334,10.565180000000002,2.644,1.794,0.96,0.499514,0.7768
39,4.0,40.0,2.3341635000000003,6.666666666666668,4.0,13.016128333333334,12.700466666666664,2.773333333333333,1.4766666666666668,0.71,0.7066616666666666,0.43591
40,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.3,126.0,20.855328,31.33333333333333,4.666666666666667,74.71870600000003,10.73364,2.8716666666666666,1.7,0.945,0.4663883333333334,4.45755
42,4.0,100.0,7.4428315,10.0,4.8,20.2988926326,12.04083,2.755,1.6310000000000002,0.91,0.4927189999999999,0.84019
43,2.3,184.0,30.92,29.5,5.5,70.92449475,9.1985,2.24,1.855,1.1800000000000002,0.447985,3.47589
44,5.5,166.0,11.2954955,11.3,4.25,24.556188775,10.78917,2.81875,1.8590000000000004,0.974,0.4931925,1.08186
45,2.3,110.0,16.630000000000006,36.66666666666666,2.6666666666666665,87.21480105433335,8.351666666666668,1.9766666666666663,2.0933333333333333,1.1800000000000002,0.4568033333333333,7.66667
46,2.3,36.0,7.441332000000001,36.0,4.0,84.1611,8.2366,2.045,2.045,1.36,0.47888,0.37005
47,6.0,106.0,13.385996,15.2,4.4,33.739258,11.11696,2.684,1.7420000000000002,0.928,0.48502,1.26278
48,2.0,128.0,9.577996,12.8,4.4,24.085483,10.78917,2.7380000000000004,1.7420000000000002,0.928,0.48502,0.51227
49,6.0,124.0,26.745328000000004,20.666666666666668,4.333333333333333,46.44374833333333,11.711716666666668,2.828333333333333,1.7166666666666668,0.92,0.4729766666666666,2.22761
50,7.5,128.0,16.449327999999998,12.0,4.0,24.50301875,10.347,2.53,1.8200000000000005,1.04,0.4911100000000001,0.8148
51,3.0,131.0,16.449327999999998,21.66666666666667,4.5,50.54252,11.75455,2.865,1.7166666666666668,0.8933333333333332,0.47857,4.72
52,5.5,66.0,13.053996,13.6,4.8,29.525338,11.95216,2.755,1.6310000000000002,0.86,0.489272,1.47116
53,2.0,235.0,32.92666,23.5,4.25,49.224449375000006,10.5015125,2.5660000000000003,1.765,0.825,0.4743239999999999,4.5665
54,2.5,202.0,17.593,20.2,4.0,47.8025,11.61422,2.884,1.736,0.956,0.47907,2.54439
55,5.8,104.0,9.014328,17.333333333333332,5.166666666666667,39.180980333,11.522283333333334,2.8480000000000003,1.7166666666666668,0.915,0.48449,1.00104
56,2.3,138.0,11.060299,12.0,4.8,26.385218,11.100835,2.754,1.711,0.9229999999999998,0.4927989999999999,2.01939
57,5.3,122.0,9.014328,20.33333333333333,4.666666666666667,46.52035333333333,11.33182,2.7466666666666666,1.7,0.8933333333333332,0.477685,1.00244
58,5.5,583.0,63.477328,15.375,4.78125,32.17476077125,11.218465625,2.6703125,1.741875,0.9634375,0.47382125,3.78533
59,3.8,470.0,45.027992,30.75,4.875,73.79314375,11.10535,2.87,1.765,0.945,0.4679350000000001,5.118
60,6.0,198.0,13.568656,9.0,4.0,19.260952307692307,11.117292307692306,2.7682051282051283,1.626923076923077,0.928,0.4966061538461538,0.78534
61,2.8,112.0,11.2954955,16.5,4.0,33.739258,11.2520375,2.705,1.765,0.9559999999999998,0.476095,3.90755
62,2.5,42.0,3.883996,8.8,4.0,17.7903568,12.63188,2.8680000000000003,1.592,0.7880000000000001,0.6164428000000001,0.49568
63,4.0,228.0,25.978324,22.0,4.666666666666667,49.50308166666667,11.654066666666669,2.7883333333333336,1.7616666666666667,0.9733333333333332,0.474655,3.78486
64,2.3,90.0,11.29599,49.0,4.0,119.6295,8.897,2.24,2.015,1.1800000000000002,0.44736,7.7439
65,6.0,80.0,13.355328,13.333333333333336,4.666666666666667,27.95135333333333,11.634466666666668,2.865,1.7233333333333334,0.8966666666666668,0.4758883333333334,2.6772
66,3.0,87.0,15.604,21.75,4.0,45.87725,10.2719,2.545,1.855,1.1800000000000002,0.479965,2.74155
67,5.5,278.0,26.917984,13.2,4.8,29.680678624999995,10.78917,2.684,1.7574999999999998,0.974,0.489272,1.0066
68,2.5,64.0,10.207996,32.0,4.0,98.3407975,10.2719,2.445,1.93,1.1800000000000002,0.4576149999999999,6.313
69,1.8,160.0,23.464973000000004,36.0,4.0,90.2267,10.2719,2.03,1.9075,1.165,0.447885,7.316
70,6.5,41.0,4.5453280000000005,13.333333333333336,4.666666666666667,27.95135333333333,11.252966666666666,2.763333333333333,1.7516666666666667,0.9733333333333332,0.4830383333333333,1.22872
71,2.5,126.0,13.385996,25.2,5.6,58.30341800000001,11.61422,2.298,1.9072,0.944,0.467568,1.13436
72,1.8,126.0,20.36,50.33333333333334,2.6666666666666665,121.02273333333332,8.869433333333333,2.0733333333333333,2.0933333333333333,1.3633333333333333,0.4169199999999999,7.66667
73,2.5,150.0,13.385996,22.4,5.2,49.204038,9.706,2.279,1.9072,1.2145,0.475954,0.24687
74,6.0,100.0,8.228992,10.0,4.8,20.3920334,11.777640000000002,2.708,1.6780000000000002,0.892,0.498454,0.62985
75,3.8,30.0,1.0252495,10.0,4.0,20.9940862215,10.63215,2.545,1.866,1.0399999999999998,0.496905,1.02525
76,4.0,58.0,11.463996000000002,18.0,5.6,39.568056,12.0278,2.58,1.6520000000000004,0.8640000000000001,0.476196,2.94712
77,2.0,107.0,11.437322,10.6,4.8,21.9893120372,10.78917,2.352,1.9072,0.936,0.491714,0.48629
78,5.5,74.0,14.9093996,13.6,4.0,29.568292,11.14446,2.752,1.6880000000000002,0.96,0.49512,1.04896
79,5.5,86.0,11.775328000000002,13.333333333333336,4.666666666666667,29.525338,11.877633333333335,2.828333333333333,1.731666666666667,0.9733333333333332,0.48527,2.37558
80,2.5,90.0,11.104328,6.0,4.0,11.663548,12.714558333333336,2.5825000000000005,1.4508333333333334,0.63,0.695602,0.40319
81,2.5,196.0,30.2908235,24.5,4.5,53.441338,10.73364,2.721,1.925,1.165,0.4679350000000001,0.38903
82,4.5,232.0,17.246648,10.545454545454543,4.909090909090909,20.94688789090909,12.08220909090909,2.8772727272727274,1.6409090909090909,0.8729545454545455,0.4972259090909091,0.45291
83,2.0,144.0,9.93196,22.8,5.6,43.498522,9.65936,2.3080000000000003,1.9072,1.1840000000000002,0.45825,1.92652
84,2.3,93.0,20.36,31.33333333333333,4.0,69.59212799999999,9.152733333333334,1.9866666666666664,1.9,1.1933333333333334,0.4463566666666667,6.945
85,2.0,118.0,14.485992,11.4,4.6,24.654186666666664,10.89726,2.7380000000000004,1.654,0.96,0.489272,1.24533
86,6.0,112.0,13.747992000000002,18.0,4.8,37.346215,11.17714,2.675,1.705,0.908,0.486658,4.75782
87,5.5,116.0,8.228992,11.0,4.8,24.085483,10.98774,2.884,1.662,0.792,0.490932,1.3748
88,5.5,200.0,17.24689925,10.0,4.8,20.86836578,11.876775,2.648,1.626,0.946,0.5471010000000001,0.65297
89,4.5,260.0,16.684981,6.842105263157895,3.789473684210527,13.48303251473684,12.188505263157897,2.6578947368421053,1.5047368421052632,0.6736842105263158,0.6531652631578947,0.52548
90,1.5,354.0,23.392140000000005,8.365817091454272,4.29764453961456,16.492666686656673,11.84014769157544,2.6940256959314777,1.5320985010706636,0.7674518201284797,0.58033852248394,0.67383
91,5.8,114.0,22.707,31.5,4.5,70.671885,8.932974999999997,1.98,1.9072,1.2,0.4448824999999999,3.11002
92,3.8,58.0,7.4428315,11.6,4.0,24.808518,12.06715,2.6725000000000003,1.495,0.71,0.6184925,1.06784
93,2.5,366.0,23.576975,10.5,4.5,22.206043325,11.719925,2.8487500000000003,1.725,0.94625,0.4957955,0.57713
94,2.0,74.0,14.055328,14.285714285714285,4.571428571428571,24.749948095,11.177555000000002,2.75,1.765,0.928,0.48502,1.76405
95,7.0,390.0,31.280203,10.0,4.5793269230769225,20.528928166666667,11.202276744186046,2.667441860465116,1.6488,0.8216,0.4940200000000001,1.09628
96,5.5,98.0,5.203996,9.2,4.7,19.8565257,10.9485,2.7030000000000003,1.6980000000000002,0.928,0.48502,0.82753
97,2.5,90.0,7.171324,5.0,4.0,9.559684638888893,13.276495555555556,2.14,1.99,1.13,0.7450291666666667,0.77525
98,6.0,60.0,4.542664,10.0,4.666666666666667,20.052981069333327,11.634466666666668,2.83,1.7333333333333334,0.9155555555555556,0.4747266666666667,0.94589
99,2.0,42.0,9.874,10.0,4.0,20.016938,9.0432,2.58,1.8,1.04,0.49897,1.9368
100,5.5,50.0,4.073996,10.0,4.8,20.077018,11.33044,2.684,1.6780000000000002,0.892,0.498454,0.51006
101,3.5,58.0,4.073996,9.2,4.8,18.439538,11.20276,2.805,1.656,0.8240000000000001,0.4991960000000001,0.72824
102,3.0,87.0,3.94991025,5.625,3.75,10.895365749875,13.040525,2.68625,1.366875,0.575625,0.713936875,0.07675
103,2.0,64.0,10.96,32.0,1.5,66.8074975,8.12415,1.96,2.0975,1.37,0.4315125,7.316
104,3.5,378.0,127.513962,28.35897435897436,4.8,67.8814264102564,9.101462068965516,2.196551724137932,1.902652329749104,1.155483870967742,0.4699382758620689,5.50017
105,6.0,158.0,10.9728255,8.315789473684209,4.2105263157894735,16.53845984210526,11.840147368421054,2.69578947368421,1.5678947368421052,0.7463157894736843,0.6014889473684211,1.50633
106,6.0,720.0,116.129292,10.0,4.4444444444444455,20.65142388888889,11.276495555555556,2.76,1.5744444444444443,0.7511111111111111,0.5433911111111112,0.57888
107,3.8,98.0,7.558488000000001,10.4,4.8,21.9893120372,10.73364,2.572,1.855,0.96,0.496379,1.42396
108,3.0,41.0,13.355328,21.5,4.0,47.3154225304,10.347,2.165,1.9072,0.946,0.4775399999999999,2.37558
109,4.0,100.0,8.337992,10.0,4.8,20.213348778,10.833850000000002,2.764,1.767,0.92,0.499726,0.50633
110,1.5,100.0,15.604,50.0,4.8,117.386335,9.01375,2.53,2.045,1.04,0.42668,7.66667
111,6.3,0.9,5.203996,9.2,4.4,18.78740068,11.33182,2.682,1.7400000000000002,0.8320000000000001,0.491604,0.80454
112,3.0,33.0,13.35,42.0,4.0,98.3407975,9.695,2.19,1.91,1.245,0.44736,2.07315
113,5.5,50.0,4.243996,10.0,4.8,20.016938,10.565180000000002,2.7060000000000004,1.7420000000000002,0.99,0.499514,0.79244
114,3.5,92.0,6.697992,9.2,4.8,18.439538,11.79886,2.7060000000000004,1.656,0.8480000000000001,0.4991960000000001,0.6795
115,6.0,108.0,8.505991999999999,10.0,4.8,20.15577185,11.11696,2.7270000000000003,1.767,0.8800000000000001,0.496167,1.1521
116,4.0,66.0,10.082327,22.0,2.6666666666666665,53.4902975,10.0743,2.308333333333333,1.923333333333333,1.1800000000000002,0.4781783333333334,4.90209
117,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8527
118,1.5,90.0,11.463996000000002,11.8,5.6,24.88692185,11.14446,2.8680000000000003,1.6520000000000004,0.8640000000000001,0.476196,1.96919
119,2.0,150.0,19.382,30.0,5.6,67.9394,9.65936,2.3680000000000003,1.904,1.1840000000000002,0.466938,3.8764
120,3.5,55.0,3.253996,11.3,4.8,22.977674666666665,11.023840000000002,2.7740000000000005,1.6549999999999998,0.945,0.49901,0.6698
121,6.0,100.0,7.957992,10.0,4.8,20.016938,10.78917,2.752,1.6880000000000002,0.836,0.4927189999999999,0.96683
122,2.0,90.0,13.551332,45.0,5.0,108.295515,10.776008333333332,2.298,1.875,1.0266666666666666,0.44942,6.46538
123,2.0,36.0,43.23,22.5,5.5,50.1811,10.13144,2.02,1.904,1.2999999999999998,0.4776649999999999,8.795
124,2.5,214.0,25.494,21.0,5.0,45.87725,9.273855,2.205,1.9,1.224,0.447985,5.20133
125,2.5,150.0,27.10599,50.0,5.0,118.019,11.14446,2.845,1.7380000000000002,0.9,0.4673040000000001,5.97378
126,4.0,43.0,3.555328,8.333333333333334,4.0,16.583821666666665,11.666308333333332,2.53,1.625,0.8183333333333332,0.5803358333333333,0.53649
127,6.5,98.0,9.143996,9.2,4.8,19.8565257,10.89726,2.857,1.6869999999999998,0.914,0.4927989999999999,0.83154
128,6.8,100.0,5.62148,10.0,4.3,20.322035645125,10.909175,2.5948,1.808,0.94625,0.4957955,0.75041
129,4.0,100.0,8.885992,10.0,4.8,20.2988926326,12.04083,2.829,1.682,0.836,0.4927189999999999,0.67544
130,1.5,68.0,7.558488000000001,13.0,4.0,29.525338,12.0863,2.045,1.747,0.7380000000000001,0.49901,1.79459
131,5.5,58.0,4.663996,11.4,4.4,24.808518,11.79886,2.8360000000000003,1.656,0.8480000000000001,0.4991960000000001,1.51422
132,5.5,108.0,6.25674375,10.6,4.4,21.9893120372,11.0881,2.8240000000000003,1.7200000000000002,0.8399999999999999,0.5340010000000001,1.48857
133,6.0,100.0,8.147992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.88024
134,2.5,84.0,13.385996,21.5,3.1,43.498522,12.63188,2.24,1.91,0.912,0.477015,1.12928
135,4.8,202.0,38.41129599999999,22.66666666666667,5.0,51.25268666666667,11.260116666666669,2.8266666666666667,1.72,0.8933333333333332,0.474655,2.0416
136,2.3,70.0,1.7401675,4.666666666666667,3.2,8.773226666666666,13.51252,2.668,1.3186666666666669,0.5053333333333333,0.7623686666666668,0.4325
137,6.0,128.0,20.29466,12.8,4.8,26.385218,11.38168,2.81,1.7700000000000002,0.96,0.489272,0.99413
138,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498454,0.86737
139,6.0,74.0,3.253996,9.4,4.4,18.5465357192,11.509916,2.8240000000000003,1.7520000000000002,0.8399999999999999,0.499404,0.6698
140,6.5,80.0,7.734660000000001,10.0,5.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,0.8148
141,6.0,50.0,3.555328,10.0,4.8,20.3920334,10.73364,2.684,1.8,0.945,0.4927359999999999,0.85549
142,2.3,90.0,15.55,45.0,4.0,111.599515,8.2366,1.9866666666666664,2.0866666666666664,1.346666666666667,0.42632,7.98667
143,9.0,100.0,7.767992,10.0,4.0,20.3920334,12.04083,2.648,1.626,0.91,0.4927359999999999,1.7674
144,6.8,100.0,8.147992,10.0,5.0,20.213348778,10.93895,2.634,1.66,0.965,0.4911100000000001,0.83076
145,1.5,0.0,0.0,0.0,0.0,0.0,12.39211,0.0,0.0,0.0,0.0,0.0222
146,6.0,116.0,13.747992000000002,15.2,4.4,33.739258,11.38168,2.81,1.7400000000000002,0.86,0.49282,1.86481
147,2.5,100.0,0.962995,10.0,4.8,20.3920334,12.04083,2.721,1.767,0.91,0.499404,0.75516
148,6.8,122.0,14.485992,15.2,4.8,31.937418,11.33182,2.7880000000000003,1.7280000000000002,0.908,0.4862359999999999,2.2928
149,3.0,114.0,7.4428315,6.0,4.8,11.663548,12.41584,2.518,1.394,0.6639999999999999,0.695602,0.59473
150,2.5,90.0,14.091992,30.0,4.0,67.9394,9.08885,2.295,1.91,1.36,0.42668,1.92725
151,2.5,184.0,40.747992,28.5,5.2,68.16233625,11.10535,2.7845,1.743,0.945,0.468765,3.1504
152,3.8,93.0,10.082327,7.4,3.2,15.57035849983333,12.06715,2.6796,1.4466666666666663,0.6208333333333335,0.6612241666666667,0.53275
153,3.8,46.0,9.133,23.0,4.0,48.7195,9.8771,2.135,1.98,1.12,0.462985,4.52755
154,5.5,108.0,8.42666,10.8,4.8,21.593638,11.38168,2.81,1.7400000000000002,0.86,0.49282,1.03196
155,2.5,102.0,10.207996,18.0,5.6,39.568056,10.78917,2.572,1.9072,1.2145,0.489272,1.26278
156,2.8,30.0,1.7428315,6.0,3.2,11.663548,12.41584,2.518,1.394,0.6639999999999999,0.695602,0.26567
157,1.8,106.0,11.874,22.5,4.25,53.4902975,9.0432,2.135,1.9,1.22,0.4743239999999999,3.958
158,6.0,116.0,8.89676,10.0,4.8,20.016938,10.565180000000002,2.752,1.7880000000000005,0.944,0.481478,1.08889
159,3.8,92.0,5.686908,9.2,4.8,18.439538,11.79886,2.805,1.656,0.8480000000000001,0.4991960000000001,0.53914
160,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,2.5,96.0,8.337992,16.0,4.8,33.739258,10.75912,2.8280000000000003,1.747,0.944,0.479965,0.11548
162,7.0,46.0,1.7,10.0,5.0,20.255278375,11.026725,2.545,1.75,0.8525,0.495275,0.93396
163,5.5,114.0,24.655328,15.285714285714285,4.285714285714286,33.48278857142857,11.1016,2.225714285714285,1.7342857142857144,0.9142857142857144,0.4841114285714286,2.48089
164,5.0,40.0,1.7401675,6.666666666666668,4.0,13.016128333333334,12.700466666666664,2.77,1.8000000000000005,0.6166666666666667,0.6637966666666667,0.4112
165,1.8,100.0,0.97258,10.0,5.6,20.322035645125,12.082260000000002,2.298,1.9,1.2,0.499404,0.48629
166,6.8,80.0,11.354575,20.0,4.5,43.498522,11.35495,2.24,1.8875,1.1949999999999998,0.4448824999999999,1.46035
167,4.0,50.0,4.03,10.0,4.8,20.9941265318,11.59399,2.74,1.7400000000000002,0.96,0.499514,0.7854
168,6.0,102.0,12.421,11.0,4.8,24.808518,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,1.41194
169,3.5,92.0,7.767992,9.2,4.8,18.439538,11.79886,2.805,1.626,0.8480000000000001,0.4991960000000001,0.86737
170,1.8,322.0,9.133,64.4,5.6,160.15216,8.31996,2.0200000000000005,1.8200000000000005,1.4220000000000002,0.40338,0.7958
171,6.0,36.0,0.974575,18.0,4.0,37.346215,10.2719,2.115,1.905,1.12,0.479405,1.07245
172,4.3,43.0,6.697992,7.5,4.0,14.610803,12.20004,2.7950000000000004,1.5419999999999998,0.703,0.695602,0.54117
173,6.0,92.0,6.697992,10.2,4.8,21.593638,11.023840000000002,2.752,1.754,0.946,0.490932,0.74774
174,2.5,100.0,0.748955,10.0,4.8,20.2988926326,12.04083,2.79,1.7420000000000002,0.9559999999999998,0.4927189999999999,0.77105
175,5.5,108.0,8.892323,10.8,4.8,22.18190848,10.987245,2.884,1.796,0.944,0.4957955,0.68988
176,3.0,114.0,13.512992,22.4,4.8,49.204038,10.75912,2.572,1.8200000000000005,1.104,0.489272,4.30067
177,6.0,68.0,9.239992,13.6,4.8,29.525338,10.79744,2.884,1.736,0.944,0.481478,1.45419
178,6.0,100.0,8.133328,10.0,4.8,20.213348778,10.9485,2.648,1.626,0.8800000000000001,0.498454,0.8135
179,2.0,144.0,32.985963,48.0,4.0,114.97573,10.36,2.24,1.855,1.29,0.44942,0.86684
180,6.0,74.0,24.574384,14.4,4.4,31.574635600000004,11.0881,2.8240000000000003,1.7420000000000002,0.928,0.48502,2.78022
181,6.0,100.0,8.337992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.81244
182,6.3,98.0,8.337992,9.0,4.8,19.8565257,10.63215,2.726,1.625,0.945,0.492719,1.27179
183,3.5,100.0,8.505991999999999,10.0,4.8,20.016938,11.50615,2.752,1.7420000000000002,0.8699999999999999,0.4960699999999999,1.00728
184,1.8,82.0,17.921332000000003,36.66666666666666,2.6666666666666665,82.59846666666667,8.054,2.1466666666666665,2.0933333333333333,1.3633333333333333,0.4568033333333333,7.66667
185,3.8,134.0,13.611328000000002,22.0,5.333333333333333,54.501263666333344,11.674016666666668,2.8716666666666666,1.7283333333333335,0.9166666666666666,0.474655,2.37162
186,6.0,226.0,27.403984,11.6,4.8,24.556188775,11.9002,2.825,1.66,0.825,0.491678,1.8013
187,2.3,100.0,15.43,50.0,4.0,117.386335,8.2366,2.045,2.015,1.24,0.44736,7.98667
188,3.8,88.0,13.611328000000002,44.0,4.0,58.30341800000001,9.6769,2.22,1.9433333333333327,1.2333333333333334,0.44966,1.3124
189,2.8,30.0,1.55316,5.6,3.2,11.663548,12.39211,2.766,1.648,0.642,0.61443,0.55823
190,6.0,100.0,8.883996,10.0,4.8,20.3920334,11.107295,2.805,1.705,0.91,0.4927359999999999,1.8288
191,6.0,41.0,7.441332000000001,10.5,4.8,21.654418,11.17714,2.675,1.736,0.9259999999999998,0.498984,0.8527
192,3.0,72.0,3.55,8.0,4.5,17.7903568,11.64556,2.75,1.765,0.898,0.49954,0.66533
193,6.3,30.0,2.3326640000000003,10.0,4.8,20.2988926326,12.04083,2.755,1.6310000000000002,0.91,0.4927189999999999,1.78823
194,4.5,0.0,0.973995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96683
195,3.0,30.0,2.70174775,10.0,4.0,20.3920334,12.0278,2.6725000000000003,1.495,0.75,0.499,1.37405
196,5.8,58.0,4.5453280000000005,11.333333333333336,4.666666666666667,22.71843416666667,11.795966666666668,2.736666666666667,1.7366666666666666,0.8875000000000001,0.4995066666666667,0.77755
197,6.0,102.0,13.477328,15.2,4.4,34.72421799999999,11.11696,2.7136,1.732,0.928,0.48502,2.37162
198,4.0,20.0,0.973995,10.0,4.0,20.9941265318,8.65415,2.295,2.045,1.36,0.42668,0.35134
199,3.0,222.0,43.23,41.0,4.0,98.3407975,10.507,2.03,1.955,1.2999999999999998,0.429675,4.5665
200,4.0,108.0,3.253996,9.0,4.8,18.01515585,11.2603,2.764,1.7,0.8959999999999999,0.4927189999999999,0.75893
201,2.3,86.0,1.7431599999999998,15.666666666666664,4.666666666666667,33.33735333333333,11.252966666666666,2.33,1.88,1.106666666666667,0.4878333333333333,0.35134
202,2.5,46.0,1.7431599999999998,11.3,4.8,23.099694928,10.73364,2.53,1.747,0.89,0.4820359999999999,0.82747
203,6.0,38.0,10.837324,12.444444444444445,4.5,26.024935442,11.522283333333334,2.763333333333333,1.5744444444444443,0.8666666666666666,0.4868611111111111,1.85225
204,3.5,76.0,5.203996,9.2,4.8,18.439538,12.30176,2.804,1.6980000000000002,0.8480000000000001,0.4991960000000001,0.6698
205,2.5,84.0,13.551332,42.0,4.0,111.34115,8.21315,2.165,2.065,1.2,0.42668,7.66
206,5.5,38.0,3.94991025,9.0,5.0,18.485977957625,11.7051,2.79,1.6725,0.84875,0.5471010000000001,0.7854
207,2.8,198.0,0.558488000000001,7.92,4.8,15.69310028,12.22274,2.68,1.592,0.7380000000000001,0.6164428000000001,0.54117
208,5.8,80.0,10.209328,13.333333333333336,4.666666666666667,27.44881366633333,11.408266666666668,2.7433333333333336,1.7616666666666667,0.9666666666666668,0.4836016666666667,1.47705
209,2.5,100.0,8.836996000000001,10.0,4.8,20.2988926326,12.04083,2.5860000000000003,1.796,0.96,0.492719,0.58973
210,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85401
